Customer_id,date,time,order_id,items,amount,mode,restaurant,Status,ratings,feedback,delivery_time,order_preperation_time,premium_member,Restraunt_location
18,2023-06-27,21:25:53,118,Olives,39.86,Online,Brussels Mussels ,Cancelled,3.0,,,0.0,Yes,Austin
19,2023-04-29,09:42:41,119,Soup of the day,45.74,Online,Sushi Masters,Delivered,4.0,Nice,43.0,12.0,No,Houston
20,2023-10-08,15:51:08,120,Olives,40.27,In-person,Da Antonio,Delivered,3.0,good packaging,42.0,30.0,Yes,Dallas
21,2023-12-22,21:30:38,121,Olives,23.28,In-person,Augustin,Delivered,4.0,Awesome experience,48.0,19.0,No,Houston
22,2023-12-01,07:21:03,122,Olives,39.78,In-person,Saint German,Cancelled,1.0,recieved better price elsewhere,,0.0,No,Houston
23,2023-07-15,02:04:33,123,Olives,16.08,Online,Gaspar,Delivered,3.0,Hygenic food,42.0,21.0,No,Dallas
24,2023-06-04,01:09:58,124,Soup of the day,15.21,In-person,Brussels Mussels ,Cancelled,2.0,delay in order,,0.0,No,Plano
25,2023-12-08,12:21:43,125,Soup of the day,23.83,Online,Da Antonio,On Hold,2.0,recieved better price elsewhere,,0.0,Yes,Corpus Christi
26,2024-03-25,08:19:03,126,Olives,42.31,In-person,Sushi Masters,Cancelled,2.0,didnt recieve delivery,,0.0,No,Plano
27,2023-12-01,17:20:31,127,Olives,19.85,Online,Veranda,Cancelled,2.0,Not required,,0.0,Yes,Plano
28,2023-11-01,00:34:50,128,Soup of the day,12.53,Online,Le Travi,Delivered,3.0,reasonable pricing,49.0,29.0,Yes,Plano
29,2023-12-31,21:17:28,129,Soup of the day,15.27,In-person,Augustin,On Hold,3.0,recieved better price elsewhere,,0.0,No,San Antonio
30,2023-10-18,13:54:52,130,Soup of the day,44.35,Online,Stebuklai,Delivered,4.0,will never order again,24.0,13.0,Yes,Houston
31,2023-09-19,16:44:36,131,Quiche,35.35,Online,Demoloftas,Cancelled,2.0,,,0.0,Yes,San Antonio
32,2023-05-01,06:24:12,132,Quiche,20.13,Online,Telegrafas,Cancelled,1.0,delay in order,,0.0,Yes,San Antonio
33,2024-04-04,12:53:36,133,Quiche,32.21,Online,Veranda,Delivered,3.0,Stale food,29.0,15.0,No,Dallas
34,2023-05-27,08:19:38,134,Olives,31.1,In-person,Le Travi,On Hold,0.0,delay in order,,0.0,No,Plano
35,2024-04-13,20:18:33,135,Quiche,36.22,In-person,Saint German,Cancelled,1.0,too much waiting,,0.0,No,Austin
36,2024-01-03,14:05:39,136,Olives,19.33,In-person,Brussels Mussels ,Cancelled,1.0,delay in order,,0.0,Yes,Plano
37,2023-10-28,14:07:12,137,Olives,44.58,Online,Brussels Mussels ,Cancelled,0.0,Not required,,0.0,Yes,Houston
38,2024-03-09,09:16:56,138,Quiche,22.37,In-person,Selfish,On Hold,1.0,delay in order,,0.0,No,San Antonio
39,2024-02-07,10:05:16,139,Olives,37.77,In-person,Selfish,Delivered,4.0,Prompt delivery,39.0,19.0,Yes,Houston
40,2023-08-21,15:21:19,140,Quiche,10.64,Online,Demoloftas,On Hold,2.0,bad experience,,0.0,No,San Antonio
41,2023-10-14,02:18:33,141,Quiche,24.91,In-person,Brussels Mussels ,On Hold,0.0,bad experience,,0.0,No,San Antonio
42,2023-07-12,05:09:10,142,Soup of the day,24.07,In-person,Gaspar,Cancelled,2.0,didnt recieve delivery,,0.0,No,San Antonio
43,2023-04-22,15:14:23,143,Quiche,31.74,In-person,Selfish,On Hold,1.0,bad experience,,0.0,Yes,Austin
44,2023-09-24,16:08:51,144,Soup of the day,12.91,Online,Saint German,Cancelled,2.0,too much waiting,,0.0,Yes,Plano
45,2023-10-13,13:50:44,145,Quiche,41.61,In-person,Selfish,On Hold,3.0,,,0.0,No,San Antonio
46,2023-12-09,11:06:57,146,Quiche,18.71,In-person,Sushi Masters,On Hold,0.0,didnt recieve delivery,,0.0,No,Dallas
47,2024-01-21,10:26:23,147,Soup of the day,37.08,In-person,Brussels Mussels ,Delivered,4.0,Worth,30.0,13.0,No,Corpus Christi
48,2023-04-29,02:20:24,148,Soup of the day,42.13,Online,Brussels Mussels ,On Hold,2.0,didnt recieve delivery,,0.0,Yes,Corpus Christi
49,2023-12-04,14:30:11,149,Quiche,32.48,Online,Sushi Masters,Delivered,4.0,value for money,47.0,14.0,No,San Antonio
50,2023-09-10,07:08:20,150,Olives,39.64,In-person,Sushi Masters,Cancelled,1.0,too much waiting,,0.0,No,Plano
51,2023-05-15,01:37:19,151,Soup of the day,36.47,In-person,Da Antonio,Cancelled,3.0,delay in order,,0.0,Yes,Plano
52,2023-08-08,20:14:54,152,Olives,24.22,In-person,Augustin,Delivered,4.0,fresh food,43.0,31.0,Yes,Austin
53,2023-09-06,04:16:55,153,Olives,42.35,Online,Augustin,Cancelled,1.0,bad experience,,0.0,Yes,San Antonio
54,2023-08-14,17:56:18,154,Olives,21.79,Online,Augustin,Cancelled,3.0,Not required,,0.0,No,Dallas
55,2023-06-11,09:51:20,155,Soup of the day,32.85,In-person,Selfish,On Hold,2.0,bad experience,,0.0,Yes,Austin
56,2023-06-14,15:18:33,156,Olives,39.82,In-person,Demoloftas,Delivered,4.0,Coupon applied,44.0,28.0,No,Austin
57,2023-07-25,00:48:45,157,Soup of the day,25.16,Online,Brussels Mussels ,Cancelled,3.0,too much waiting,,0.0,No,San Antonio
58,2024-02-20,23:29:54,158,Olives,22.11,Online,Demoloftas,Delivered,3.0,fullfilling stomach,37.0,15.0,No,San Antonio
59,2023-07-06,14:06:41,159,Quiche,28.37,In-person,Le Travi,On Hold,1.0,delay in order,,0.0,Yes,Austin
60,2023-11-19,12:01:15,160,Quiche,42.72,Online,Augustin,Cancelled,2.0,,,0.0,No,Austin
61,2024-04-14,22:27:54,161,Soup of the day,47.2,In-person,Brussels Mussels ,Cancelled,3.0,Not required,,0.0,Yes,Austin
62,2023-09-01,01:33:43,162,Quiche,31.8,In-person,Da Antonio,Delivered,4.0,Delicious food,46.0,25.0,Yes,Houston
63,2023-11-07,21:25:22,163,Quiche,36.46,Online,Demoloftas,Cancelled,0.0,bad experience,,0.0,Yes,Austin
64,2024-03-31,07:25:03,164,Olives,46.13,In-person,Sushi Masters,Delivered,5.0,value for money,40.0,13.0,No,Plano
65,2023-09-11,22:01:03,165,Soup of the day,13.94,In-person,Demoloftas,Cancelled,1.0,,,0.0,Yes,Corpus Christi
66,2023-07-13,19:47:40,166,Olives,19.28,In-person,Brussels Mussels ,On Hold,0.0,bad experience,,0.0,No,Dallas
67,2023-07-18,06:02:13,167,Olives,38.36,In-person,Demoloftas,On Hold,3.0,Not required,,0.0,No,Dallas
68,2024-01-05,00:47:29,168,Olives,42.95,In-person,Telegrafas,Delivered,3.0,Tasty food,26.0,13.0,Yes,Corpus Christi
69,2023-12-02,23:01:50,169,Olives,44.28,In-person,Sushi Masters,Cancelled,0.0,didnt recieve delivery,,0.0,No,San Antonio
70,2024-03-27,04:06:58,170,Olives,26.6,In-person,Selfish,Cancelled,2.0,bad experience,,0.0,Yes,Austin
71,2024-03-20,12:46:11,171,Olives,13.57,Online,Selfish,Delivered,3.0,very good food,35.0,21.0,Yes,Dallas
72,2023-09-15,22:11:18,172,Olives,27.51,Online,Stebuklai,On Hold,1.0,delay in order,,0.0,Yes,Dallas
73,2024-01-31,11:59:29,173,Soup of the day,19.23,In-person,Da Antonio,On Hold,1.0,recieved better price elsewhere,,0.0,Yes,Plano
74,2024-03-31,07:27:07,174,Quiche,21.65,Online,Le Travi,On Hold,1.0,recieved better price elsewhere,,0.0,No,Plano
75,2024-02-25,01:45:33,175,Olives,40.89,In-person,Sushi Masters,Delivered,4.0,Awesome experience,40.0,21.0,Yes,Houston
76,2023-06-18,01:17:28,176,Olives,13.02,In-person,Augustin,On Hold,1.0,delay in order,,0.0,No,Corpus Christi
77,2023-12-30,12:25:09,177,Olives,43.1,Online,Gaspar,Delivered,2.0,great taste,59.0,14.0,No,Houston
78,2024-02-19,20:37:44,178,Olives,27.11,In-person,Saint German,On Hold,0.0,,,0.0,Yes,Dallas
79,2023-07-29,08:34:19,179,Olives,33.84,In-person,Brussels Mussels ,On Hold,3.0,too much waiting,,0.0,No,San Antonio
80,2023-07-23,16:01:36,180,Olives,13.59,Online,Telegrafas,Delivered,3.0,Fast delivery,43.0,11.0,Yes,Dallas
81,2023-08-16,18:38:04,181,Quiche,23.49,Online,Saint German,Cancelled,1.0,didnt recieve delivery,,0.0,Yes,San Antonio
82,2023-10-10,07:20:15,182,Quiche,13.59,Online,Augustin,Cancelled,3.0,recieved better price elsewhere,,0.0,Yes,Dallas
83,2023-08-09,23:42:20,183,Olives,48.46,Online,Veranda,Cancelled,1.0,too much waiting,,0.0,No,Plano
84,2023-10-25,07:52:36,184,Quiche,42.29,Online,Le Travi,On Hold,2.0,Not required,,0.0,Yes,Austin
85,2023-11-10,19:15:16,185,Soup of the day,28.39,Online,Sushi Masters,On Hold,1.0,,,0.0,No,Dallas
86,2023-08-10,20:58:38,186,Olives,18.94,In-person,Demoloftas,Cancelled,1.0,recieved better price elsewhere,,0.0,Yes,Houston
87,2024-04-04,10:46:48,187,Soup of the day,47.34,Online,Sushi Masters,On Hold,3.0,,,0.0,No,San Antonio
88,2024-04-08,22:00:19,188,Soup of the day,23.78,Online,Sushi Masters,On Hold,2.0,,,0.0,Yes,San Antonio
89,2024-04-10,01:54:00,189,Olives,16.44,In-person,Selfish,Cancelled,1.0,recieved better price elsewhere,,0.0,No,Dallas
90,2023-08-08,07:34:26,190,Quiche,32.53,In-person,Augustin,Delivered,3.0,Difficult to order,34.0,16.0,Yes,San Antonio
91,2023-06-03,01:47:23,191,Soup of the day,47.75,Online,Selfish,Cancelled,1.0,delay in order,,0.0,No,Houston
92,2024-04-14,08:00:41,192,Olives,10.15,In-person,Augustin,Cancelled,2.0,delay in order,,0.0,Yes,Plano
93,2023-08-24,08:04:28,193,Soup of the day,19.52,In-person,Stebuklai,Delivered,5.0,very good food,27.0,10.0,No,Austin
94,2023-10-22,16:14:00,194,Soup of the day,47.54,In-person,Gaspar,On Hold,2.0,Not required,,0.0,Yes,Austin
95,2023-06-17,05:43:21,195,Soup of the day,16.84,In-person,Selfish,Cancelled,3.0,delay in order,,0.0,No,San Antonio
96,2024-02-22,07:57:59,196,Soup of the day,14.53,In-person,Saint German,Cancelled,1.0,Not required,,0.0,Yes,Dallas
97,2024-04-02,18:12:14,197,Quiche,32.81,In-person,Demoloftas,On Hold,3.0,,,0.0,Yes,San Antonio
98,2024-01-01,23:20:32,198,Soup of the day,44.47,In-person,Demoloftas,On Hold,0.0,delay in order,,0.0,Yes,Houston
99,2023-08-11,19:26:06,199,Soup of the day,29.08,Online,Stebuklai,Delivered,2.0,Stale food,65.0,32.0,No,Corpus Christi
100,2023-04-20,11:47:45,200,Soup of the day,49.78,In-person,Augustin,On Hold,2.0,bad experience,,0.0,No,Dallas
101,2023-12-30,12:54:05,201,Quiche,37.17,Online,Da Antonio,Cancelled,1.0,didnt recieve delivery,,0.0,Yes,Plano
102,2023-11-07,06:30:03,202,Soup of the day,12.96,In-person,Gaspar,On Hold,1.0,bad experience,,0.0,No,Houston
103,2024-01-29,04:08:54,203,Soup of the day,49.71,In-person,Selfish,On Hold,3.0,Not required,,0.0,Yes,Plano
104,2023-12-09,02:45:11,204,Quiche,26.32,Online,Stebuklai,Delivered,4.0,Complicated procedure,47.0,32.0,Yes,Dallas
105,2023-10-13,03:31:16,205,Quiche,21.5,In-person,Demoloftas,Delivered,4.0,fullfilling stomach,40.0,26.0,Yes,Plano
106,2023-09-02,01:07:09,206,Quiche,32.32,In-person,Sushi Masters,Cancelled,1.0,recieved better price elsewhere,,0.0,No,Houston
107,2023-06-09,20:24:23,207,Soup of the day,22.17,Online,Gaspar,Cancelled,1.0,too much waiting,,0.0,Yes,Houston
108,2024-03-19,07:22:43,208,Quiche,13.46,In-person,Da Antonio,On Hold,2.0,,,0.0,No,San Antonio
109,2023-10-05,23:02:10,209,Quiche,10.06,In-person,Augustin,Cancelled,2.0,,,0.0,No,Corpus Christi
110,2024-02-24,07:56:49,210,Soup of the day,27.98,Online,Stebuklai,Cancelled,1.0,recieved better price elsewhere,,0.0,Yes,Dallas
111,2023-04-22,12:01:47,211,Quiche,43.47,Online,Augustin,On Hold,2.0,bad experience,,0.0,No,Austin
112,2023-07-13,10:55:06,212,Soup of the day,32.89,In-person,Stebuklai,On Hold,0.0,too much waiting,,0.0,No,Corpus Christi
113,2024-04-14,11:21:30,213,Olives,49.97,Online,Demoloftas,On Hold,0.0,recieved better price elsewhere,,0.0,No,Austin
114,2023-05-25,17:24:28,214,Quiche,21.47,In-person,Da Antonio,Delivered,3.0,Coupon applied,27.0,10.0,Yes,Plano
115,2023-05-18,05:35:28,215,Olives,21.22,In-person,Stebuklai,Delivered,3.0,Fast delivery,47.0,8.0,Yes,Austin
116,2024-03-17,04:04:29,216,Soup of the day,16.39,Online,Demoloftas,On Hold,1.0,delay in order,,0.0,No,Austin
117,2024-03-17,00:56:54,217,Quiche,16.56,Online,Stebuklai,Delivered,4.0,Hygenic food,21.0,10.0,No,Houston
118,2024-03-16,19:56:04,218,Soup of the day,21.41,Online,Augustin,Delivered,2.0,Reached on time,57.0,30.0,Yes,Houston
119,2023-08-05,17:21:03,219,Olives,41.71,Online,Selfish,Delivered,4.0,food leakage ,34.0,21.0,Yes,Houston
120,2024-01-17,14:57:52,220,Soup of the day,46.23,In-person,Sushi Masters,Cancelled,2.0,,,0.0,No,Austin
121,2024-01-23,07:15:53,221,Quiche,49.0,Online,Demoloftas,On Hold,3.0,didnt recieve delivery,,0.0,Yes,Plano
122,2023-10-21,13:47:08,222,Quiche,19.29,Online,Selfish,On Hold,1.0,,,0.0,Yes,Dallas
123,2023-11-11,18:03:30,223,Olives,45.25,In-person,Telegrafas,Cancelled,2.0,bad experience,,0.0,No,San Antonio
124,2023-06-26,06:41:32,224,Soup of the day,23.13,In-person,Telegrafas,Delivered,3.0,good packaging,34.0,14.0,Yes,Plano
125,2023-06-05,00:50:27,225,Quiche,14.51,In-person,Gaspar,On Hold,2.0,didnt recieve delivery,,0.0,No,Houston
126,2024-01-12,23:30:52,226,Olives,44.8,In-person,Gaspar,Delivered,3.0,Coupon applied,31.0,18.0,No,Plano
127,2024-01-21,08:25:27,227,Quiche,35.44,In-person,Sushi Masters,Cancelled,2.0,didnt recieve delivery,,0.0,No,Dallas
128,2023-11-19,17:24:00,228,Quiche,16.59,In-person,Brussels Mussels ,Delivered,4.0,Delicious food,30.0,12.0,No,Corpus Christi
129,2023-09-21,22:13:58,229,Soup of the day,27.19,In-person,Telegrafas,Cancelled,1.0,too much waiting,,0.0,Yes,Houston
130,2024-03-05,01:24:55,230,Quiche,21.49,In-person,Brussels Mussels ,Cancelled,1.0,delay in order,,0.0,Yes,Dallas
131,2023-05-17,00:05:34,231,Soup of the day,39.47,In-person,Veranda,Delivered,4.0,Reached on time,24.0,9.0,Yes,Corpus Christi
132,2024-02-13,21:51:18,232,Quiche,28.14,Online,Sushi Masters,Delivered,2.0,Coupon applied,85.0,59.0,Yes,San Antonio
133,2023-12-22,14:31:10,233,Olives,49.57,Online,Da Antonio,On Hold,3.0,,,0.0,No,Plano
134,2024-03-18,03:27:09,234,Quiche,12.19,In-person,Selfish,Cancelled,1.0,recieved better price elsewhere,,0.0,Yes,San Antonio
135,2023-04-19,21:21:28,235,Soup of the day,24.2,Online,Telegrafas,Delivered,3.0,Cheap and best,40.0,23.0,No,Austin
136,2023-10-07,21:28:57,236,Soup of the day,29.28,In-person,Augustin,Delivered,2.0,Hygenic food,41.0,8.0,No,Plano
137,2023-09-07,18:07:49,237,Olives,30.13,In-person,Sushi Masters,On Hold,0.0,recieved better price elsewhere,,0.0,No,Corpus Christi
138,2024-04-12,06:24:46,238,Quiche,22.64,In-person,Demoloftas,On Hold,1.0,,,0.0,Yes,Austin
139,2024-02-04,00:01:07,239,Quiche,39.17,In-person,Le Travi,On Hold,1.0,didnt recieve delivery,,0.0,No,Dallas
140,2024-03-25,22:49:21,240,Olives,44.99,Online,Augustin,Cancelled,2.0,too much waiting,,0.0,No,Austin
141,2024-02-15,09:38:04,241,Quiche,47.55,Online,Stebuklai,On Hold,1.0,Not required,,0.0,Yes,Corpus Christi
142,2023-08-14,08:34:17,242,Quiche,42.2,In-person,Telegrafas,Cancelled,1.0,didnt recieve delivery,,0.0,No,Corpus Christi
143,2023-08-27,20:51:45,243,Soup of the day,44.02,Online,Stebuklai,On Hold,2.0,delay in order,,0.0,Yes,Dallas
144,2023-09-02,09:45:11,244,Quiche,32.02,Online,Telegrafas,Cancelled,3.0,didnt recieve delivery,,0.0,Yes,San Antonio
145,2023-11-25,17:24:44,245,Quiche,43.04,In-person,Brussels Mussels ,On Hold,0.0,didnt recieve delivery,,0.0,No,Houston
146,2024-01-29,10:47:49,246,Olives,22.14,In-person,Sushi Masters,Cancelled,2.0,recieved better price elsewhere,,0.0,No,San Antonio
147,2023-11-08,04:29:33,247,Olives,25.94,Online,Demoloftas,On Hold,2.0,bad experience,,0.0,Yes,Austin
148,2023-10-02,01:31:12,248,Soup of the day,22.68,Online,Sushi Masters,On Hold,3.0,recieved better price elsewhere,,0.0,Yes,Dallas
149,2024-02-10,10:20:54,249,Quiche,28.7,In-person,Saint German,Delivered,4.0,good packaging,46.0,34.0,No,Austin
150,2023-06-25,21:53:01,250,Quiche,21.42,In-person,Telegrafas,Cancelled,2.0,delay in order,,0.0,No,Corpus Christi
151,2023-12-16,02:23:52,251,Quiche,48.46,Online,Saint German,Delivered,3.0,Good service,28.0,17.0,No,Houston
152,2023-06-15,11:52:00,252,Soup of the day,22.51,In-person,Gaspar,Cancelled,1.0,Not required,,0.0,No,Plano
153,2023-05-09,13:49:22,253,Soup of the day,13.92,In-person,Da Antonio,Delivered,4.0,Prompt delivery,45.0,27.0,No,Plano
154,2024-01-01,02:09:43,254,Olives,31.07,In-person,Sushi Masters,On Hold,2.0,didnt recieve delivery,,0.0,No,Plano
155,2024-01-02,08:48:32,255,Soup of the day,12.28,Online,Brussels Mussels ,Delivered,5.0,very good food,31.0,11.0,No,Austin
156,2024-01-18,08:14:25,256,Quiche,14.42,Online,Demoloftas,On Hold,0.0,didnt recieve delivery,,0.0,No,Plano
157,2024-02-08,05:59:47,257,Quiche,18.78,In-person,Telegrafas,Cancelled,1.0,too much waiting,,0.0,No,Dallas
158,2023-08-30,14:07:47,258,Soup of the day,28.57,Online,Demoloftas,On Hold,1.0,recieved better price elsewhere,,0.0,No,Houston
159,2024-01-09,07:40:50,259,Quiche,27.33,In-person,Gaspar,Delivered,4.0,Worth,21.0,9.0,Yes,Corpus Christi
160,2023-12-09,06:51:39,260,Quiche,41.99,Online,Stebuklai,Cancelled,3.0,delay in order,,0.0,Yes,San Antonio
161,2023-09-27,16:41:41,261,Soup of the day,39.58,Online,Demoloftas,Delivered,4.0,value for money,22.0,11.0,Yes,Corpus Christi
162,2023-05-01,12:51:05,262,Soup of the day,27.05,Online,Telegrafas,On Hold,0.0,delay in order,,0.0,Yes,Dallas
163,2024-01-02,16:32:36,263,Quiche,23.35,In-person,Saint German,On Hold,3.0,bad experience,,0.0,No,Houston
164,2023-12-05,00:08:14,264,Quiche,22.66,In-person,Brussels Mussels ,Delivered,4.0,fullfilling stomach,45.0,22.0,Yes,San Antonio
165,2023-07-12,18:15:22,265,Quiche,40.96,In-person,Demoloftas,Cancelled,3.0,recieved better price elsewhere,,0.0,No,Plano
166,2024-01-01,18:40:17,266,Olives,12.08,Online,Brussels Mussels ,Delivered,3.0,Food not good,44.0,13.0,No,San Antonio
167,2023-10-03,08:32:46,267,Olives,10.51,In-person,Stebuklai,On Hold,2.0,,,0.0,No,Austin
168,2023-10-15,13:05:00,268,Olives,41.82,In-person,Brussels Mussels ,Cancelled,2.0,recieved better price elsewhere,,0.0,No,Austin
169,2024-01-22,15:14:23,269,Soup of the day,29.09,In-person,Stebuklai,Delivered,5.0,Reached on time,41.0,22.0,No,Plano
170,2023-08-05,04:15:34,270,Olives,15.24,In-person,Stebuklai,On Hold,0.0,Not required,,0.0,Yes,Plano
171,2024-01-14,22:10:41,271,Soup of the day,19.42,Online,Da Antonio,Cancelled,1.0,Not required,,0.0,Yes,Dallas
172,2023-10-11,20:37:39,272,Soup of the day,47.3,In-person,Da Antonio,Delivered,2.0,Will order again,82.0,70.0,Yes,Dallas
173,2024-01-03,02:02:06,273,Olives,44.38,In-person,Veranda,Cancelled,3.0,,,0.0,No,Corpus Christi
174,2024-04-04,10:00:30,274,Olives,38.39,Online,Le Travi,On Hold,1.0,bad experience,,0.0,Yes,Austin
175,2023-09-25,23:35:11,275,Olives,29.29,In-person,Brussels Mussels ,Delivered,2.0,great taste,86.0,54.0,Yes,Houston
176,2024-01-18,17:00:37,276,Quiche,30.81,Online,Demoloftas,Delivered,5.0,Delivery boy didnt come at doorstep,25.0,8.0,No,Dallas
177,2024-02-06,00:35:33,277,Olives,49.01,Online,Brussels Mussels ,On Hold,1.0,recieved better price elsewhere,,0.0,No,Houston
178,2023-10-17,08:22:17,278,Quiche,48.63,Online,Stebuklai,On Hold,2.0,recieved better price elsewhere,,0.0,Yes,Corpus Christi
179,2023-07-17,21:26:39,279,Soup of the day,18.61,In-person,Da Antonio,On Hold,0.0,bad experience,,0.0,No,Austin
180,2024-02-12,11:34:53,280,Quiche,42.44,Online,Selfish,Delivered,3.0,Will order again,45.0,27.0,No,Dallas
181,2024-04-11,15:35:50,281,Olives,17.89,Online,Augustin,On Hold,3.0,Not required,,0.0,Yes,Houston
182,2023-07-06,22:22:21,282,Soup of the day,18.54,Online,Saint German,Delivered,4.0,nice meal,39.0,24.0,Yes,Corpus Christi
183,2023-12-15,19:09:16,283,Soup of the day,37.04,In-person,Brussels Mussels ,Delivered,5.0,Tasty food,38.0,24.0,No,Houston
184,2023-05-04,08:40:27,284,Soup of the day,26.2,Online,Sushi Masters,Cancelled,2.0,,,0.0,No,Dallas
185,2023-05-23,01:55:15,285,Quiche,47.26,Online,Selfish,On Hold,2.0,bad experience,,0.0,Yes,Plano
186,2023-11-19,05:57:49,286,Olives,13.56,Online,Sushi Masters,On Hold,2.0,Not required,,0.0,Yes,Corpus Christi
187,2024-04-14,23:38:08,287,Soup of the day,30.46,In-person,Le Travi,Cancelled,3.0,too much waiting,,0.0,Yes,Corpus Christi
188,2023-07-26,00:58:32,288,Soup of the day,46.74,Online,Selfish,Delivered,4.0,food leakage ,27.0,12.0,No,San Antonio
189,2023-08-07,18:11:10,289,Soup of the day,46.16,Online,Telegrafas,Delivered,2.0,Delivery boy didnt come at doorstep,81.0,19.0,Yes,Plano
190,2023-11-09,05:51:39,290,Quiche,16.26,In-person,Brussels Mussels ,Delivered,3.0,food leakage ,36.0,18.0,Yes,Corpus Christi
191,2024-03-18,11:00:25,291,Quiche,24.67,In-person,Brussels Mussels ,On Hold,0.0,delay in order,,0.0,Yes,San Antonio
192,2023-11-22,20:10:25,292,Olives,34.76,In-person,Gaspar,Delivered,3.0,High price,28.0,17.0,No,Houston
193,2024-03-03,11:49:55,293,Quiche,16.38,Online,Stebuklai,Cancelled,1.0,bad experience,,0.0,No,Dallas
194,2023-12-30,05:14:06,294,Soup of the day,48.72,Online,Selfish,Delivered,2.0,Cheap and best,88.0,52.0,Yes,Corpus Christi
195,2023-11-22,17:41:56,295,Olives,46.59,Online,Telegrafas,On Hold,1.0,delay in order,,0.0,No,Austin
196,2023-09-16,00:18:39,296,Soup of the day,16.68,Online,Stebuklai,On Hold,2.0,didnt recieve delivery,,0.0,Yes,Dallas
197,2023-09-27,00:54:05,297,Soup of the day,14.85,In-person,Stebuklai,Delivered,5.0,Prompt delivery,20.0,8.0,Yes,Plano
198,2023-06-09,08:34:08,298,Quiche,13.42,Online,Demoloftas,Delivered,4.0,fresh food,32.0,13.0,Yes,San Antonio
199,2023-05-06,23:50:24,299,Olives,46.38,In-person,Saint German,On Hold,3.0,,,0.0,No,Dallas
200,2023-12-19,15:03:24,300,Quiche,17.74,Online,Selfish,Delivered,3.0,Prompt delivery,37.0,16.0,Yes,San Antonio
201,2024-02-19,06:45:53,301,Quiche,26.65,Online,Selfish,Cancelled,1.0,recieved better price elsewhere,,0.0,No,Plano
202,2024-01-28,16:50:23,302,Olives,27.95,Online,Brussels Mussels ,On Hold,3.0,didnt recieve delivery,,0.0,No,Plano
203,2023-08-30,15:13:37,303,Soup of the day,33.96,In-person,Telegrafas,Delivered,4.0,food leakage ,39.0,8.0,Yes,Dallas
204,2024-01-05,19:45:50,304,Soup of the day,12.87,In-person,Demoloftas,Delivered,3.0,Nice,40.0,25.0,No,Corpus Christi
205,2023-11-01,04:42:06,305,Olives,19.07,In-person,Da Antonio,Delivered,3.0,Worth,39.0,10.0,Yes,Austin
206,2023-05-21,11:56:09,306,Soup of the day,47.26,In-person,Augustin,Cancelled,1.0,too much waiting,,0.0,Yes,Corpus Christi
207,2023-06-14,05:34:08,307,Olives,46.34,Online,Stebuklai,On Hold,1.0,bad experience,,0.0,Yes,Austin
208,2023-08-18,15:08:34,308,Olives,41.25,Online,Le Travi,Cancelled,3.0,Not required,,0.0,Yes,San Antonio
209,2023-05-09,09:19:24,309,Quiche,10.78,Online,Sushi Masters,Delivered,5.0,Nice,31.0,12.0,No,Dallas
